key,key_label,key_type,row,number,width,height,layout
Ctrl Left,&nbsp;,alphanumeric,1,1,1.25,1,60%
Win Left,&nbsp;,alphanumeric,1,2,1.25,1,60%
Alt Left,&nbsp;,alphanumeric,1,3,1.25,1,60%
Spacebar,@MINEBOCEK,space,1,4,6.25,1,60%
Alt Right,&nbsp;,alphanumeric,1,5,1.25,1,60%
Win Right,&nbsp;,alphanumeric,1,6,1.25,1,60%
Menu,&nbsp;,alphanumeric,1,7,1.25,1,60%
Ctrl Right,&nbsp;,alphanumeric,1,8,1.25,1,60%
Shift Left,&nbsp;,alphanumeric,2,1,2.25,1,60%
Z,R,rmarkdown,2,2,1,1,60%
X,&nbsp;,alphanumeric,2,3,1,1,60%
C,M,rmarkdown,2,4,1,1,60%
V,A,rmarkdown,2,5,1,1,60%
B,R,rmarkdown,2,6,1,1,60%
N,K,rmarkdown,2,7,1,1,60%
M,D,rmarkdown,2,8,1,1,60%
"<,",O,rmarkdown,2,9,1,1,60%
>.,W,rmarkdown,2,10,1,1,60%
?/,N,rmarkdown,2,11,1,1,60%
Shift Right,&nbsp;,alphanumeric,2,12,2.75,1,60%
Caps,&nbsp;,alphanumeric,3,1,1.75,1,60%
A,&nbsp;,alphanumeric,3,2,1,1,60%
S,&nbsp;,alphanumeric,3,3,1,1,60%
D,W,was,3,4,1,1,60%
F,A,was,3,5,1,1,60%
G,S,was,3,6,1,1,60%
H,&nbsp;,alphanumeric,3,7,1,1,60%
J,&nbsp;,alphanumeric,3,8,1,1,60%
K,&nbsp;,alphanumeric,3,9,1,1,60%
L,&nbsp;,alphanumeric,3,10,1,1,60%
:;,&nbsp;,alphanumeric,3,11,1,1,60%
"""'",&nbsp;,alphanumeric,3,12,1,1,60%
Enter,&nbsp;,alphanumeric,3,13,2.25,1,60%
Tab,&nbsp;,alphanumeric,4,1,1.5,1,60%
Q,B,beginning,4,2,1,1,60%
W,E,beginning,4,3,1,1,60%
E,G,beginning,4,4,1,1,60%
R,I,beginning,4,5,1,1,60%
T,N,beginning,4,6,1,1,60%
Y,N,beginning,4,7,1,1,60%
U,I,beginning,4,8,1,1,60%
I,N,beginning,4,9,1,1,60%
O,G,beginning,4,10,1,1,60%
P,&nbsp;,alphanumeric,4,11,1,1,60%
{[,&nbsp;,alphanumeric,4,12,1,1,60%
}],&nbsp;,alphanumeric,4,13,1,1,60%
|\,&nbsp;,alphanumeric,4,14,1.5,1,60%
Esc,&nbsp;,alphanumeric,5,1,1,1,60%
1,I,inn,5,2,1,1,60%
2,N,inn,5,3,1,1,60%
3,&nbsp;,alphanumeric,5,4,1,1,60%
4,T,the,5,5,1,1,60%
5,H,the,5,6,1,1,60%
6,E,the,5,7,1,1,60%
7,&nbsp;,alphanumeric,5,8,1,1,60%
8,&nbsp;,alphanumeric,5,9,1,1,60%
9,&nbsp;,alphanumeric,5,10,1,1,60%
0,&nbsp;,alphanumeric,5,11,1,1,60%
_-,&nbsp;,alphanumeric,5,12,1,1,60%
+=,&nbsp;,alphanumeric,5,13,1,1,60%
Backspace,&nbsp;,alphanumeric,5,14,2,1,60%
